SubscriberKey,Firstname,Surname,PreferredName,EmailAddress,JoinAgeDays,NextReviewDays,PointsYTD,SpendYTD,PurchasesYTD,LastPurchaseDays,FreeShipping,Marketing_FlashSales,Marketing_Campaigns,,,,
AMPscriptIFExample_01,Ken,Garner,,cameronrobert@youtube.com,57,308,25,253.4,1,57,0,0,0,,,,
AMPscriptIFExample_02,Fiona,Barron,Fifi,cameronrobert@youtube.com,84,281,69,690.75,4,1,0,1,1,,,,
AMPscriptIFExample_03,Beryl,Bennett,,cameronrobert@youtube.com,35,330,0,0,0,0,1,1,0,,,,
AMPscriptIFExample_04,Garry,Birch,Gaz,cameronrobert@youtube.com,162,203,184,1848.67,9,15,0,1,0,,,,
AMPscriptIFExample_05,Hilda,Franklin,,cameronrobert@youtube.com,157,208,108,1081.9,2,42,0,1,0,,,,
AMPscriptIFExample_06,Yvonne,Cowley,,cameronrobert@youtube.com,78,287,48,485.12,1,78,1,1,0,,,,
AMPscriptIFExample_07,Jacqui,Mistry,Jazz,cameronrobert@youtube.com,142,223,101,1014.85,9,2,0,1,1,,,,
AMPscriptIFExample_08,Johnathan,Woodcock,,cameronrobert@youtube.com,184,181,239,2394.11,7,6,0,1,1,,,,
AMPscriptIFExample_09,Alicia,Wilkins,,cameronrobert@youtube.com,40,325,0,0,0,0,1,0,0,,,,
AMPscriptIFExample_10,Candice,Harrington,,cameronrobert@youtube.com,249,116,482,4820.01,24,2,0,0,1,,,,
AMPscriptIFExample_11,Susan,Lovell,,cameronrobert@youtube.com,31,334,0,0,0,0,1,1,0,,,,
AMPscriptIFExample_12,Rosanna,Pitt,Rosy,cameronrobert@youtube.com,224,141,314,3147.18,11,10,0,1,0,,,,
AMPscriptIFExample_13,Aileen,Moody,,cameronrobert@youtube.com,109,256,81,814.74,2,24,0,1,0,,,,
AMPscriptIFExample_14,Clifford,Waller,,cameronrobert@youtube.com,39,326,0,0,0,0,1,1,0,,,,
AMPscriptIFExample_15,Millicent,Lancaster,,cameronrobert@youtube.com,80,285,67,674.67,1,80,1,0,1,,,,
AMPscriptIFExample_16,Asha,Black,Ash,cameronrobert@youtube.com,123,242,0,0,0,0,1,1,0,,,,
AMPscriptIFExample_17,Kerri,Bone,,cameronrobert@youtube.com,8,357,0,0,0,0,1,0,0,,,,
AMPscriptIFExample_18,Rhys,May,,cameronrobert@youtube.com,183,182,0,0,0,0,1,1,0,,,,
AMPscriptIFExample_19,Ronald,Haines,,cameronrobert@youtube.com,160,205,132,1325.09,4,35,0,1,0,,,,
AMPscriptIFExample_20,Sadia,McIntyre,,cameronrobert@youtube.com,145,220,0,0,0,0,1,1,0,,,,
