GUID,Firstname,Surname,DOB,PostCode,Suburb,State
E224C3C0-62AB-4528-831A-9A947DFC7698,Heidy,Harvey,1973-12-23,3549,Robinvale Irrigation District Section B,VIC
98275190-844B-4C7E-B6ED-B8638D313E2A,Hazel,Mckay,1971-05-11,2420,Hanleys Creek,NSW
41D0B305-7F4C-4D06-8C66-923A5F54C8CD,Vance,Conner,1997-11-30,3072,Preston Lower,VIC
EE6220EC-7FB1-4619-AC2E-F833AD8D44C0,Rey,Copeland,1950-05-02,6701,Yandoo Creek,WA
D28DBAFF-56F7-46F2-8A4F-A4C73259DFFC,Bailey,Shannon,1976-08-02,4825,Sunset,QLD
F28AE9A1-8DD1-42BD-971D-B05DBA1F7366,Darian,Leonard,1962-05-08,6165,Hope Valley,WA
E529555A-50BC-4ACF-9F10-7D174DCFF452,Jazlynn,West,1947-11-14,7304,Chudleigh,TAS
8B7FA13C-AAB6-46ED-BCDF-4B23502A19AD,Penelope,Jennings,1957-11-16,6215,Lake Clifton,WA
5A61AF83-7F36-4B32-89CB-497F620775A3,Hayden,Richards,1989-04-30,4800,Mount Marlow,QLD
E985E1B8-FCF7-4ACE-8386-C113096864B4,Karina,Bell,1943-06-03,3351,Westmere,VIC
D298F897-EDB6-4721-8827-3412631A40BA,Giovanny,Conrad,1990-10-14,5670,Colton,SA
18D11473-2796-4846-B092-F683D7714771,Aspen,Richard,1949-02-26,2137,Cabarita,NSW
3B0516F3-E7BD-4B36-9C3A-9866F9A3A5F0,Alexandria,Pearson,1960-07-02,6220,Myalup,WA
6BE8E25A-910B-424E-A5C2-92A83DD2BDBE,Marilyn,Gates,1951-05-01,5267,Coombe,SA
4246FFC5-C090-4C07-8087-F037B6887597,Justice,Berry,1971-11-22,2462,Pillar Valley,NSW
B40DAFB8-E841-46D1-93BC-EEACEE3C8A96,Maximilian,Hendricks,1963-07-01,2281,Swansea Heads,NSW
290AC612-7C91-47BB-8E10-C36AC411294E,Rylan,Erickson,1966-12-05,6054,Bassendean,WA
89261D01-69C0-4223-9B06-498ED4834167,Melany,Levy,1973-08-04,2648,Pomona,NSW
ADE94F99-3118-4F0D-BA89-63BEDCCC0889,Magdalena,Suarez,1989-01-05,2083,Mooney Mooney,NSW
C7D56AD4-2BD2-425D-B0FE-3A636A601095,Ryder,Medina,1987-11-17,3019,Robinson,VIC
46E6A8CB-FF1E-4082-936B-D95956E26633,Anaya,Carney,1991-05-17,2017,Zetland,NSW
F665124E-1C6E-42F1-B58C-C139B54C829B,Madalynn,Blankenship,1949-08-04,4670,Givelda,QLD
51CC7669-E486-49BF-B398-7A70769FDBF0,Dulce,Mckenzie,1973-03-22,4892,Pormpuraaw,QLD
5EB8D39F-D487-48B0-90D0-E66CC211A3DF,Darryl,Villanueva,1993-01-23,6957,Palmyra,WA
1A5253F8-A2DA-454F-A1A1-B4092B48390D,Crystal,Michael,1973-01-28,2831,The Marra,NSW
654CE6C9-70D0-41BF-872B-0DA4899FFFE4,Erick,Sparks,1952-12-14,4854,Tully,QLD
DC7355FF-A004-42A8-AC3C-1220E1DE7A1E,Justus,Schmidt,1998-09-12,2330,Whittingham,NSW
BAA376E6-AF3A-4773-8584-BD0FA315917C,Karli,Rosario,1983-12-20,2642,Jagumba,NSW
CCA7A7A3-EFCC-441D-AB55-1F593CA4BF86,Jacoby,Savage,1966-12-27,2323,Buchanan,NSW
AC3483C5-A4EF-45BF-A72B-8BD82E0CFFB4,Esperanza,Chen,1977-09-21,822,Claravale,NT
3F28B3DE-9226-4E50-8FA9-59455144496D,Lizbeth,York,1958-12-17,1106,Sydney,NSW
A2F91469-4875-41F2-BECA-F14B05F8E79E,Brycen,Thornton,1995-06-17,3161,Caulfield Junction,VIC
2A5022C0-1A39-4144-8AC8-BA2DD9A3F08A,Abagail,Valentine,1980-08-22,2560,Leumeah,NSW
7598305A-6249-406B-9286-955897A07939,Sophie,Neal,1966-02-10,2036,Hillsdale,NSW
F956FB78-0440-4DC2-853C-FDC391F43803,Emely,Ponce,1947-01-19,6210,Halls Head,WA
E20EF887-05B9-4120-95C7-26F3DD8D9957,Cindy,Villanueva,1972-07-31,5670,Bramfield,SA
A021372D-33B0-436E-9814-FA7430C403A5,Maximo,Lynch,1970-01-28,5165,Christies Beach,SA
CE9F8311-44A9-4487-8C0C-461FD91775FE,Allie,Maynard,1965-03-04,5255,Angas Plains,SA
8DA53021-FCF9-40F8-A2C1-C1C20260F419,Carlos,Jefferson,1958-08-03,3251,Eurack,VIC
96F461F3-E5A3-4BF5-B75D-BAFDB4642DBF,Semaj,Peck,1964-01-07,3225,Point Lonsdale,VIC
396A7348-47E6-4DB1-8B5F-B1F6D65BF9DA,Payton,Johnson,1965-08-05,4650,Dundathu,QLD
04F4729F-BE1B-4E56-9385-31DB500DDD57,Maxwell,Kirk,2000-10-21,2646,Savernake,NSW
